"Tabela 6449 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Variável - Número de empresas e outras organizações (Unidades)"
"Município";"Ano x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Município";"2015"
"Município";"Total";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";"B Indústrias extrativas";"C Indústrias de transformação";"D Eletricidade e gás";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";"F Construção";"G Comércio; reparação de veículos automotores e motocicletas";"H Transporte, armazenagem e correio";"I Alojamento e alimentação";"J Informação e comunicação";"K Atividades financeiras, de seguros e serviços relacionados";"L Atividades imobiliárias";"M Atividades profissionais, científicas e técnicas";"N Atividades administrativas e serviços complementares";"O Administração pública, defesa e seguridade social";"P Educação";"Q Saúde humana e serviços sociais";"R Artes, cultura, esporte e recreação";"S Outras atividades de serviços";"T Serviços domésticos";"U Organismos internacionais e outras instituições extraterritoriais"
"Porto Vitória (PR)";"108";"8";"-";"25";"-";"-";"2";"34";"9";"3";"-";"-";"1";"-";"2";"2";"6";"1";"1";"14";"-";"-"
"Prado Ferreira (PR)";"140";"4";"-";"15";"-";"-";"4";"74";"8";"2";"1";"-";"-";"7";"6";"6";"2";"1";"3";"7";"-";"-"
"Pranchita (PR)";"205";"-";"-";"31";"-";"1";"1";"97";"37";"3";"2";"1";"-";"7";"4";"2";"3";"9";"-";"7";"-";"-"
"Presidente Castelo Branco (PR)";"126";"7";"-";"19";"-";"2";"4";"52";"15";"1";"-";"-";"-";"3";"5";"2";"5";"6";"1";"4";"-";"-"
"Primeiro de Maio (PR)";"307";"16";"2";"33";"-";"-";"10";"142";"13";"7";"3";"-";"5";"11";"10";"2";"12";"7";"7";"27";"-";"-"
"Prudentópolis (PR)";"1250";"20";"3";"193";"1";"-";"42";"560";"69";"67";"13";"5";"15";"33";"41";"3";"88";"34";"13";"50";"-";"-"
"Quarto Centenário (PR)";"76";"8";"-";"3";"-";"-";"2";"33";"4";"2";"1";"-";"-";"1";"5";"2";"-";"-";"1";"14";"-";"-"
"Quatiguá (PR)";"300";"2";"-";"25";"-";"1";"1";"152";"31";"13";"3";"-";"30";"6";"8";"5";"3";"9";"4";"7";"-";"-"
"Quatro Barras (PR)";"681";"4";"7";"93";"-";"1";"45";"225";"50";"47";"22";"5";"8";"53";"49";"3";"26";"6";"6";"31";"-";"-"
"Quatro Pontes (PR)";"186";"5";"1";"36";"-";"1";"2";"51";"37";"7";"-";"1";"-";"6";"10";"2";"4";"3";"3";"17";"-";"-"
"Quedas do Iguaçu (PR)";"1054";"10";"2";"134";"-";"2";"47";"382";"75";"55";"15";"4";"19";"32";"36";"2";"56";"24";"9";"150";"-";"-"
"Querência do Norte (PR)";"191";"4";"-";"19";"-";"-";"6";"93";"7";"7";"-";"-";"-";"3";"7";"3";"11";"3";"3";"25";"-";"-"
"Quinta do Sol (PR)";"73";"1";"-";"7";"-";"-";"-";"39";"3";"-";"1";"-";"1";"4";"3";"2";"1";"3";"1";"7";"-";"-"
"Quitandinha (PR)";"287";"5";"3";"38";"-";"-";"13";"125";"26";"13";"3";"-";"1";"9";"3";"3";"17";"8";"2";"18";"-";"-"
"Ramilândia (PR)";"42";"-";"-";"4";"-";"-";"5";"27";"-";"2";"-";"-";"-";"-";"1";"2";"1";"-";"-";"-";"-";"-"
"Rancho Alegre (PR)";"91";"1";"-";"9";"-";"-";"1";"49";"4";"3";"-";"-";"-";"4";"2";"3";"4";"3";"2";"6";"-";"-"
"Rancho Alegre D'Oeste (PR)";"68";"-";"-";"3";"-";"-";"4";"17";"28";"2";"1";"-";"-";"2";"-";"3";"3";"1";"-";"4";"-";"-"
"Realeza (PR)";"991";"3";"1";"85";"-";"3";"56";"435";"94";"59";"14";"8";"13";"33";"34";"2";"31";"45";"14";"61";"-";"-"
"Rebouças (PR)";"306";"9";"-";"39";"-";"1";"18";"157";"19";"11";"7";"-";"-";"5";"7";"2";"3";"9";"2";"17";"-";"-"
"Renascença (PR)";"228";"5";"-";"33";"5";"-";"6";"86";"35";"10";"-";"3";"1";"12";"5";"6";"6";"4";"2";"9";"-";"-"
"Reserva (PR)";"1004";"50";"-";"121";"-";"2";"32";"471";"98";"59";"6";"-";"2";"16";"14";"4";"26";"18";"10";"75";"-";"-"
"Reserva do Iguaçu (PR)";"135";"4";"-";"16";"1";"-";"5";"67";"4";"9";"-";"-";"-";"2";"3";"2";"6";"2";"3";"11";"-";"-"
"Ribeirão Claro (PR)";"349";"5";"4";"28";"-";"2";"12";"124";"45";"24";"2";"1";"9";"21";"11";"7";"14";"9";"7";"24";"-";"-"
"Ribeirão do Pinhal (PR)";"306";"3";"3";"38";"-";"-";"8";"170";"8";"13";"1";"1";"2";"10";"7";"2";"9";"14";"3";"14";"-";"-"
"Rio Azul (PR)";"310";"8";"-";"43";"-";"1";"5";"164";"25";"9";"2";"-";"-";"8";"5";"3";"11";"3";"2";"21";"-";"-"
"Rio Bom (PR)";"59";"1";"-";"7";"-";"-";"1";"25";"10";"3";"-";"-";"-";"2";"2";"2";"-";"2";"1";"3";"-";"-"
"Rio Bonito do Iguaçu (PR)";"225";"1";"-";"20";"-";"-";"6";"118";"15";"12";"3";"-";"-";"9";"2";"3";"19";"7";"3";"7";"-";"-"
"Rio Branco do Ivaí (PR)";"83";"1";"-";"10";"-";"-";"1";"46";"3";"5";"1";"-";"-";"-";"1";"3";"2";"3";"-";"7";"-";"-"
"Rio Branco do Sul (PR)";"698";"11";"21";"67";"-";"-";"55";"293";"81";"32";"7";"3";"1";"22";"26";"2";"31";"10";"3";"33";"-";"-"
"Rio Negro (PR)";"1175";"18";"4";"186";"1";"3";"27";"497";"67";"80";"12";"14";"3";"32";"43";"14";"38";"30";"20";"86";"-";"-"
"Rolândia (PR)";"2609";"37";"-";"420";"-";"12";"121";"1154";"191";"118";"35";"24";"18";"76";"125";"3";"66";"79";"21";"109";"-";"-"
"Roncador (PR)";"220";"2";"-";"13";"-";"-";"16";"127";"12";"10";"2";"1";"1";"4";"5";"3";"5";"6";"3";"10";"-";"-"
"Rondon (PR)";"338";"9";"2";"33";"-";"1";"6";"149";"55";"5";"3";"-";"7";"9";"5";"2";"13";"11";"4";"24";"-";"-"
"Rosário do Ivaí (PR)";"128";"-";"-";"3";"-";"-";"5";"69";"1";"7";"-";"1";"-";"2";"1";"2";"10";"10";"-";"17";"-";"-"
"Sabáudia (PR)";"700";"3";"-";"78";"-";"1";"8";"417";"52";"6";"3";"2";"5";"29";"74";"3";"4";"7";"1";"7";"-";"-"
"Salgado Filho (PR)";"111";"-";"2";"16";"-";"-";"5";"48";"5";"7";"1";"1";"1";"4";"1";"2";"2";"6";"-";"10";"-";"-"
"Salto do Itararé (PR)";"77";"2";"3";"8";"-";"-";"1";"44";"1";"2";"2";"-";"-";"1";"1";"2";"6";"2";"1";"1";"-";"-"
"Salto do Lontra (PR)";"535";"1";"1";"62";"-";"-";"52";"228";"47";"20";"7";"1";"10";"25";"12";"5";"22";"17";"3";"22";"-";"-"
"Santa Amélia (PR)";"64";"-";"-";"5";"-";"-";"-";"31";"1";"2";"1";"1";"1";"3";"1";"2";"4";"2";"1";"9";"-";"-"
"Santa Cecília do Pavão (PR)";"83";"-";"-";"2";"-";"3";"1";"41";"4";"7";"-";"-";"-";"3";"2";"2";"3";"2";"1";"12";"-";"-"
"Santa Cruz de Monte Castelo (PR)";"286";"4";"-";"38";"-";"1";"2";"159";"17";"8";"-";"-";"-";"6";"7";"2";"10";"7";"4";"21";"-";"-"
"Santa Fé (PR)";"501";"4";"-";"58";"1";"1";"25";"226";"31";"32";"11";"4";"2";"36";"19";"2";"12";"10";"5";"22";"-";"-"
"Santa Helena (PR)";"859";"14";"2";"94";"-";"1";"57";"327";"76";"54";"6";"4";"5";"35";"25";"2";"33";"31";"16";"77";"-";"-"
"Santa Inês (PR)";"42";"-";"-";"2";"-";"-";"6";"12";"7";"2";"-";"-";"-";"2";"2";"2";"3";"1";"-";"3";"-";"-"
"Santa Isabel do Ivaí (PR)";"292";"3";"1";"48";"-";"-";"4";"158";"18";"14";"2";"-";"-";"9";"5";"3";"5";"4";"4";"14";"-";"-"
"Santa Izabel do Oeste (PR)";"306";"3";"1";"45";"-";"4";"14";"128";"35";"19";"5";"2";"4";"6";"7";"1";"4";"9";"5";"14";"-";"-"
"Santa Lúcia (PR)";"93";"1";"-";"17";"-";"-";"7";"36";"6";"3";"1";"1";"-";"3";"1";"2";"2";"3";"-";"10";"-";"-"
"Santa Maria do Oeste (PR)";"174";"2";"-";"16";"1";"-";"4";"99";"4";"8";"2";"1";"1";"8";"2";"2";"8";"2";"-";"14";"-";"-"
"Santa Mariana (PR)";"357";"3";"2";"17";"-";"1";"6";"189";"46";"22";"4";"6";"1";"12";"13";"2";"8";"4";"5";"16";"-";"-"
"Santa Mônica (PR)";"73";"2";"1";"11";"-";"-";"-";"33";"3";"1";"-";"-";"-";"2";"1";"4";"4";"-";"1";"10";"-";"-"
"Santana do Itararé (PR)";"63";"3";"-";"8";"-";"-";"-";"35";"-";"1";"1";"-";"-";"2";"1";"2";"1";"1";"-";"8";"-";"-"
"Santa Tereza do Oeste (PR)";"378";"8";"1";"87";"-";"3";"22";"168";"12";"26";"6";"3";"3";"4";"9";"2";"2";"4";"5";"13";"-";"-"
"Santa Terezinha de Itaipu (PR)";"783";"6";"2";"99";"-";"4";"40";"347";"45";"40";"8";"4";"5";"28";"38";"2";"24";"23";"8";"60";"-";"-"
"Santo Antônio da Platina (PR)";"1848";"26";"2";"158";"1";"-";"43";"985";"65";"111";"38";"9";"41";"57";"75";"3";"50";"86";"21";"77";"-";"-"
"Santo Antônio do Caiuá (PR)";"39";"-";"-";"1";"-";"-";"1";"19";"2";"1";"-";"-";"-";"-";"1";"4";"2";"-";"2";"6";"-";"-"
"Santo Antônio do Paraíso (PR)";"59";"1";"-";"2";"1";"2";"2";"34";"-";"7";"2";"-";"-";"-";"-";"2";"-";"-";"-";"6";"-";"-"
"Santo Antônio do Sudoeste (PR)";"585";"3";"-";"88";"-";"-";"18";"287";"37";"37";"10";"7";"3";"22";"13";"2";"16";"18";"4";"20";"-";"-"
"Santo Inácio (PR)";"177";"3";"-";"16";"-";"1";"5";"67";"35";"12";"3";"1";"1";"6";"4";"3";"3";"3";"2";"12";"-";"-"
"São Carlos do Ivaí (PR)";"211";"2";"3";"53";"-";"-";"4";"86";"25";"7";"1";"-";"-";"4";"5";"2";"6";"3";"2";"8";"-";"-"
"São Jerônimo da Serra (PR)";"299";"7";"3";"13";"-";"2";"6";"170";"9";"22";"1";"-";"-";"4";"5";"4";"19";"14";"1";"19";"-";"-"
"São João (PR)";"520";"4";"-";"40";"-";"2";"22";"174";"96";"19";"7";"2";"-";"18";"14";"2";"17";"19";"6";"78";"-";"-"
"São João do Caiuá (PR)";"125";"-";"-";"12";"-";"1";"6";"57";"7";"8";"1";"-";"1";"5";"3";"4";"4";"3";"4";"9";"-";"-"
"São João do Ivaí (PR)";"252";"2";"-";"19";"-";"1";"5";"140";"12";"9";"3";"-";"1";"9";"4";"2";"13";"11";"1";"20";"-";"-"
"São João do Triunfo (PR)";"185";"6";"1";"11";"-";"-";"3";"87";"7";"9";"3";"2";"-";"8";"2";"2";"11";"4";"4";"25";"-";"-"
"São Jorge d'Oeste (PR)";"398";"3";"1";"44";"-";"2";"12";"148";"32";"16";"4";"2";"1";"10";"2";"1";"18";"12";"7";"83";"-";"-"
"São Jorge do Ivaí (PR)";"163";"-";"-";"11";"-";"1";"5";"73";"23";"6";"2";"1";"1";"7";"7";"2";"5";"5";"2";"12";"-";"-"
"São Jorge do Patrocínio (PR)";"196";"1";"-";"44";"-";"-";"5";"85";"3";"6";"1";"1";"7";"2";"7";"4";"4";"11";"-";"15";"-";"-"
"São José da Boa Vista (PR)";"161";"1";"3";"20";"-";"-";"2";"69";"7";"9";"3";"-";"-";"7";"4";"4";"9";"6";"2";"15";"-";"-"
"São José das Palmeiras (PR)";"93";"3";"-";"5";"-";"-";"4";"44";"4";"8";"-";"1";"1";"1";"1";"2";"3";"4";"1";"11";"-";"-"
"São José dos Pinhais (PR)";"9652";"39";"16";"1403";"-";"40";"724";"3540";"928";"615";"140";"120";"209";"343";"671";"3";"253";"207";"93";"308";"-";"-"
"São Manoel do Paraná (PR)";"50";"1";"-";"12";"-";"-";"1";"23";"4";"1";"-";"-";"-";"1";"2";"1";"1";"1";"1";"1";"-";"-"
"São Mateus do Sul (PR)";"1091";"17";"5";"85";"-";"5";"44";"525";"54";"94";"8";"6";"6";"54";"35";"4";"52";"34";"11";"52";"-";"-"
"São Miguel do Iguaçu (PR)";"964";"24";"-";"122";"-";"3";"40";"371";"72";"50";"14";"6";"10";"36";"45";"2";"17";"31";"20";"101";"-";"-"
"São Pedro do Iguaçu (PR)";"124";"2";"-";"11";"-";"-";"2";"65";"7";"11";"-";"-";"-";"3";"1";"2";"2";"5";"1";"12";"-";"-"
"São Pedro do Ivaí (PR)";"295";"22";"-";"19";"-";"-";"16";"124";"46";"14";"-";"1";"2";"8";"12";"2";"6";"13";"2";"8";"-";"-"
"São Pedro do Paraná (PR)";"71";"1";"8";"6";"-";"-";"4";"29";"3";"3";"-";"2";"-";"-";"3";"3";"-";"1";"4";"4";"-";"-"
"São Sebastião da Amoreira (PR)";"179";"-";"-";"15";"-";"-";"5";"90";"9";"11";"-";"-";"4";"9";"4";"2";"9";"6";"3";"12";"-";"-"
"São Tomé (PR)";"108";"3";"1";"19";"-";"-";"2";"48";"10";"4";"1";"-";"-";"3";"2";"4";"1";"3";"-";"7";"-";"-"
"Sapopema (PR)";"141";"-";"3";"24";"-";"-";"6";"68";"5";"4";"-";"1";"-";"2";"4";"2";"8";"6";"1";"7";"-";"-"
"Sarandi (PR)";"2495";"2";"-";"391";"-";"7";"226";"1177";"184";"115";"18";"11";"29";"47";"86";"4";"56";"44";"22";"76";"-";"-"
"Saudade do Iguaçu (PR)";"165";"-";"-";"21";"-";"1";"9";"78";"16";"7";"-";"-";"1";"1";"8";"3";"3";"3";"2";"12";"-";"-"
"Sengés (PR)";"362";"31";"3";"56";"-";"-";"8";"165";"41";"15";"3";"1";"-";"8";"5";"2";"4";"7";"-";"13";"-";"-"
"Serranópolis do Iguaçu (PR)";"116";"5";"-";"20";"-";"-";"6";"39";"16";"7";"1";"-";"1";"4";"2";"2";"-";"2";"3";"8";"-";"-"
"Sertaneja (PR)";"144";"3";"-";"11";"-";"1";"6";"60";"4";"5";"4";"-";"3";"6";"6";"2";"11";"3";"4";"15";"-";"-"
"Sertanópolis (PR)";"703";"37";"-";"98";"-";"3";"29";"304";"68";"32";"5";"8";"11";"23";"27";"2";"5";"10";"3";"38";"-";"-"
"Siqueira Campos (PR)";"674";"2";"1";"103";"-";"2";"20";"360";"37";"33";"7";"1";"11";"23";"13";"2";"9";"21";"10";"19";"-";"-"
"Sulina (PR)";"90";"-";"1";"6";"-";"-";"1";"45";"5";"12";"2";"-";"-";"3";"2";"2";"1";"2";"1";"7";"-";"-"
"Tamarana (PR)";"359";"14";"2";"23";"-";"5";"17";"170";"15";"25";"1";"4";"3";"7";"8";"2";"10";"3";"1";"49";"-";"-"
"Tamboara (PR)";"186";"3";"-";"19";"-";"-";"4";"83";"18";"3";"9";"3";"-";"7";"18";"3";"1";"5";"2";"8";"-";"-"
"Tapejara (PR)";"450";"12";"2";"70";"-";"2";"24";"201";"37";"20";"2";"2";"4";"15";"9";"2";"15";"12";"3";"18";"-";"-"
"Tapira (PR)";"127";"1";"-";"29";"-";"-";"4";"56";"9";"4";"1";"1";"-";"2";"3";"3";"3";"3";"1";"7";"-";"-"
"Teixeira Soares (PR)";"171";"13";"-";"16";"-";"-";"9";"67";"13";"6";"1";"-";"-";"9";"-";"2";"9";"11";"2";"13";"-";"-"
"Telêmaco Borba (PR)";"1822";"24";"2";"164";"-";"2";"106";"824";"130";"118";"20";"12";"23";"61";"68";"3";"68";"97";"20";"80";"-";"-"
"Terra Boa (PR)";"587";"6";"-";"123";"-";"-";"16";"223";"53";"17";"4";"2";"5";"17";"16";"4";"16";"31";"15";"39";"-";"-"
"Terra Rica (PR)";"365";"6";"-";"42";"-";"2";"10";"181";"27";"9";"4";"2";"5";"9";"10";"4";"7";"12";"5";"30";"-";"-"
"Terra Roxa (PR)";"659";"6";"1";"166";"-";"3";"20";"284";"23";"29";"4";"4";"4";"24";"5";"3";"7";"37";"5";"34";"-";"-"
"Tibagi (PR)";"517";"33";"4";"33";"3";"-";"41";"207";"45";"34";"2";"2";"3";"19";"28";"3";"13";"13";"4";"30";"-";"-"
"Tijucas do Sul (PR)";"324";"18";"4";"39";"-";"2";"17";"154";"26";"25";"5";"1";"-";"8";"7";"3";"2";"2";"-";"11";"-";"-"
"Toledo (PR)";"5980";"47";"5";"673";"2";"12";"407";"2368";"482";"322";"89";"47";"117";"257";"287";"16";"174";"239";"84";"352";"-";"-"
"Tomazina (PR)";"173";"2";"4";"17";"-";"-";"7";"66";"18";"9";"-";"-";"-";"13";"2";"4";"10";"9";"2";"10";"-";"-"
"Três Barras do Paraná (PR)";"285";"6";"1";"19";"-";"1";"13";"152";"41";"8";"2";"2";"1";"6";"9";"2";"2";"8";"4";"8";"-";"-"
"Tunas do Paraná (PR)";"145";"33";"-";"18";"-";"1";"7";"55";"11";"7";"-";"2";"1";"2";"4";"2";"-";"-";"-";"2";"-";"-"
"Tuneiras do Oeste (PR)";"151";"4";"-";"14";"-";"-";"13";"68";"9";"3";"-";"1";"-";"7";"5";"2";"12";"3";"2";"8";"-";"-"
"Tupãssi (PR)";"187";"8";"-";"20";"-";"-";"4";"78";"25";"6";"1";"1";"2";"9";"1";"2";"6";"5";"-";"19";"-";"-"
"Turvo (PR)";"370";"19";"-";"52";"1";"3";"24";"164";"20";"16";"1";"3";"1";"10";"15";"4";"8";"4";"3";"22";"-";"-"
"Ubiratã (PR)";"852";"25";"1";"72";"-";"-";"41";"415";"71";"25";"15";"2";"3";"29";"20";"3";"31";"44";"8";"47";"-";"-"
"Umuarama (PR)";"4883";"28";"1";"525";"-";"12";"185";"2245";"262";"277";"89";"43";"70";"196";"348";"6";"119";"215";"57";"205";"-";"-"
"União da Vitória (PR)";"1940";"22";"7";"227";"-";"5";"66";"864";"106";"105";"24";"26";"25";"81";"92";"9";"84";"82";"30";"85";"-";"-"
"Uniflor (PR)";"70";"3";"-";"10";"-";"-";"2";"26";"4";"7";"-";"-";"-";"1";"1";"6";"2";"1";"3";"4";"-";"-"
"Uraí (PR)";"239";"2";"-";"16";"-";"1";"7";"130";"9";"8";"4";"5";"6";"7";"7";"1";"15";"7";"4";"10";"-";"-"
"Wenceslau Braz (PR)";"593";"9";"1";"37";"-";"1";"13";"322";"42";"46";"10";"-";"2";"19";"24";"2";"26";"16";"6";"17";"-";"-"
"Ventania (PR)";"212";"8";"2";"15";"-";"-";"3";"117";"27";"15";"-";"1";"-";"1";"6";"2";"5";"3";"2";"5";"-";"-"
"Vera Cruz do Oeste (PR)";"204";"4";"-";"18";"-";"1";"3";"92";"35";"6";"4";"3";"-";"6";"2";"3";"6";"8";"1";"12";"-";"-"
"Verê (PR)";"243";"2";"-";"26";"-";"-";"7";"103";"27";"16";"2";"1";"-";"9";"3";"2";"13";"8";"5";"19";"-";"-"
"Alto Paraíso (PR)";"68";"4";"3";"5";"-";"-";"2";"28";"4";"2";"-";"-";"-";"2";"2";"2";"4";"2";"2";"6";"-";"-"
"Doutor Ulysses (PR)";"85";"10";"-";"5";"-";"1";"3";"40";"6";"9";"-";"-";"-";"1";"1";"2";"3";"2";"-";"2";"-";"-"
"Virmond (PR)";"79";"-";"-";"15";"-";"-";"1";"39";"3";"5";"-";"1";"-";"2";"4";"5";"1";"1";"-";"2";"-";"-"
"Vitorino (PR)";"207";"2";"-";"37";"-";"-";"9";"74";"37";"16";"-";"1";"-";"4";"3";"2";"2";"3";"5";"12";"-";"-"
"Xambrê (PR)";"134";"1";"-";"42";"-";"-";"1";"54";"7";"3";"2";"-";"3";"3";"2";"3";"2";"1";"2";"8";"-";"-"
"Abdon Batista (SC)";"116";"-";"-";"5";"-";"-";"9";"62";"5";"4";"2";"1";"7";"3";"5";"2";"6";"-";"1";"4";"-";"-"
"Abelardo Luz (SC)";"508";"10";"2";"43";"1";"-";"26";"201";"62";"32";"10";"3";"5";"32";"19";"2";"11";"14";"6";"29";"-";"-"
"Agrolândia (SC)";"498";"3";"-";"152";"1";"-";"15";"154";"20";"22";"1";"2";"9";"13";"19";"2";"8";"5";"10";"62";"-";"-"
"Agronômica (SC)";"194";"1";"-";"54";"-";"2";"9";"60";"22";"8";"-";"1";"6";"3";"5";"2";"7";"1";"3";"10";"-";"-"
"Água Doce (SC)";"206";"8";"-";"24";"6";"3";"4";"75";"32";"17";"1";"-";"2";"7";"3";"3";"6";"5";"-";"10";"-";"-"
"Águas de Chapecó (SC)";"122";"-";"-";"15";"-";"-";"3";"51";"25";"5";"-";"1";"-";"3";"4";"3";"5";"2";"1";"4";"-";"-"
"Águas Frias (SC)";"119";"1";"-";"17";"-";"-";"9";"40";"18";"4";"1";"3";"2";"3";"2";"1";"5";"1";"5";"7";"-";"-"
"Águas Mornas (SC)";"181";"-";"5";"19";"-";"1";"29";"80";"3";"10";"1";"1";"1";"5";"9";"3";"2";"2";"2";"8";"-";"-"
"Alfredo Wagner (SC)";"327";"7";"2";"28";"-";"-";"4";"169";"13";"26";"2";"4";"-";"10";"6";"1";"13";"4";"3";"35";"-";"-"
"Alto Bela Vista (SC)";"101";"-";"-";"8";"-";"-";"3";"22";"6";"1";"-";"-";"-";"2";"2";"2";"2";"-";"3";"50";"-";"-"
"Anchieta (SC)";"270";"3";"1";"33";"1";"-";"9";"85";"49";"12";"1";"-";"-";"9";"1";"2";"14";"4";"5";"41";"-";"-"
"Angelina (SC)";"135";"2";"1";"11";"3";"1";"8";"57";"7";"6";"1";"1";"3";"7";"7";"4";"4";"3";"-";"9";"-";"-"
"Anita Garibaldi (SC)";"206";"-";"-";"18";"-";"-";"6";"98";"16";"11";"1";"-";"-";"11";"6";"2";"9";"5";"4";"19";"-";"-"
"Anitápolis (SC)";"100";"-";"2";"8";"1";"-";"7";"36";"1";"5";"1";"-";"1";"7";"6";"5";"5";"3";"-";"12";"-";"-"
"Antônio Carlos (SC)";"385";"4";"4";"50";"-";"-";"16";"155";"23";"10";"12";"5";"8";"25";"22";"4";"8";"5";"16";"18";"-";"-"
"Apiúna (SC)";"402";"11";"-";"127";"1";"-";"13";"108";"22";"28";"5";"1";"4";"11";"23";"6";"14";"4";"6";"18";"-";"-"
"Arabutã (SC)";"209";"2";"-";"20";"-";"4";"4";"42";"36";"9";"-";"1";"1";"6";"3";"2";"8";"4";"17";"50";"-";"-"
"Araquari (SC)";"1437";"6";"14";"419";"1";"17";"91";"418";"202";"51";"7";"12";"22";"29";"40";"11";"32";"9";"6";"50";"-";"-"
"Araranguá (SC)";"2522";"8";"5";"384";"-";"11";"94";"1125";"125";"118";"40";"24";"46";"86";"151";"4";"62";"69";"35";"135";"-";"-"
"Armazém (SC)";"362";"1";"1";"95";"4";"-";"9";"113";"68";"18";"2";"1";"3";"7";"10";"2";"4";"6";"1";"17";"-";"-"
"Arroio Trinta (SC)";"236";"3";"-";"26";"1";"-";"10";"63";"42";"8";"3";"-";"1";"3";"2";"4";"16";"6";"12";"36";"-";"-"
"Arvoredo (SC)";"53";"2";"-";"4";"-";"-";"-";"21";"11";"3";"-";"-";"2";"1";"3";"1";"1";"-";"1";"3";"-";"-"
"Ascurra (SC)";"363";"5";"1";"135";"-";"4";"10";"111";"19";"26";"1";"3";"4";"11";"4";"6";"5";"3";"2";"13";"-";"-"
"Atalanta (SC)";"118";"1";"-";"26";"-";"1";"2";"39";"4";"3";"1";"-";"-";"3";"4";"2";"6";"-";"3";"23";"-";"-"
"Aurora (SC)";"228";"1";"2";"30";"-";"-";"8";"60";"25";"6";"1";"-";"1";"4";"7";"4";"14";"3";"15";"47";"-";"-"
"Balneário Arroio do Silva (SC)";"261";"1";"1";"24";"-";"2";"14";"119";"9";"27";"4";"-";"1";"4";"30";"4";"3";"6";"6";"6";"-";"-"
"Balneário Camboriú (SC)";"9045";"3";"1";"339";"-";"12";"797";"2980";"150";"926";"128";"130";"429";"439";"1877";"7";"150";"212";"110";"355";"-";"-"
"Balneário Barra do Sul (SC)";"367";"2";"-";"28";"-";"3";"19";"158";"45";"29";"4";"2";"2";"11";"12";"4";"9";"3";"7";"29";"-";"-"
"Balneário Gaivota (SC)";"227";"6";"-";"48";"-";"2";"14";"93";"14";"16";"4";"1";"5";"3";"4";"2";"5";"2";"3";"5";"-";"-"
"Bandeirante (SC)";"74";"3";"-";"10";"-";"-";"-";"16";"7";"3";"-";"-";"-";"1";"2";"2";"4";"2";"5";"19";"-";"-"
"Barra Bonita (SC)";"26";"-";"-";"2";"-";"-";"-";"11";"2";"-";"-";"-";"-";"1";"1";"2";"4";"1";"1";"1";"-";"-"
"Barra Velha (SC)";"1090";"6";"1";"114";"-";"7";"70";"444";"59";"106";"11";"11";"41";"34";"77";"5";"24";"14";"19";"47";"-";"-"
"Bela Vista do Toldo (SC)";"105";"4";"-";"8";"-";"-";"1";"44";"7";"2";"2";"-";"-";"-";"3";"3";"12";"-";"-";"19";"-";"-"
"Belmonte (SC)";"77";"1";"-";"8";"-";"-";"2";"22";"12";"6";"1";"-";"-";"1";"1";"2";"3";"-";"5";"13";"-";"-"
"Benedito Novo (SC)";"456";"6";"-";"164";"5";"1";"22";"108";"27";"26";"6";"-";"-";"8";"9";"2";"32";"3";"9";"28";"-";"-"
"Biguaçu (SC)";"1896";"3";"1";"225";"1";"7";"206";"730";"132";"112";"35";"14";"25";"87";"140";"3";"39";"33";"24";"79";"-";"-"
"Blumenau (SC)";"19257";"25";"7";"2884";"36";"45";"1294";"6188";"688";"984";"727";"471";"830";"1321";"1776";"28";"423";"490";"251";"789";"-";"-"
"Bocaina do Sul (SC)";"71";"5";"-";"12";"-";"-";"1";"19";"2";"7";"-";"-";"-";"1";"3";"2";"5";"1";"-";"13";"-";"-"
"Bombinhas (SC)";"1378";"-";"-";"57";"-";"5";"136";"356";"19";"342";"13";"4";"47";"23";"298";"3";"20";"7";"16";"32";"-";"-"
"Bom Jardim da Serra (SC)";"112";"2";"-";"8";"5";"-";"3";"44";"3";"22";"-";"-";"1";"5";"2";"2";"3";"1";"1";"10";"-";"-"
"Bom Jesus (SC)";"88";"1";"-";"5";"-";"-";"1";"40";"23";"4";"-";"-";"-";"1";"1";"2";"1";"-";"2";"7";"-";"-"
"Bom Jesus do Oeste (SC)";"51";"-";"-";"6";"-";"1";"3";"22";"12";"2";"-";"-";"-";"-";"1";"2";"1";"-";"-";"1";"-";"-"
"Bom Retiro (SC)";"312";"16";"-";"32";"-";"1";"8";"110";"18";"27";"4";"-";"5";"8";"6";"2";"8";"10";"2";"55";"-";"-"
"Botuverá (SC)";"213";"4";"2";"92";"-";"1";"5";"36";"18";"8";"1";"2";"2";"6";"2";"3";"3";"1";"8";"19";"-";"-"
"Braço do Norte (SC)";"1434";"3";"3";"317";"5";"10";"68";"587";"98";"70";"21";"12";"26";"41";"42";"8";"25";"33";"22";"43";"-";"-"
"Braço do Trombudo (SC)";"151";"1";"-";"33";"-";"2";"6";"48";"13";"8";"-";"-";"5";"6";"4";"3";"4";"2";"3";"13";"-";"-"
"Brunópolis (SC)";"41";"2";"-";"5";"-";"-";"1";"20";"1";"3";"-";"-";"-";"1";"1";"2";"2";"-";"-";"3";"-";"-"
